33	851	33	851	6517
33	851	33	851	6550
33	851	30	842	6583
30	842	35	822	6616
35	822	52	778	6650
52	778	69	744	6683
69	744	77	710	6716
77	710	81	680	6750
81	680	86	656	6783
86	656	93	634	6816
93	634	98	598	6850
98	598	98	565	6884
98	565	101	527	6917
101	527	101	491	6950
101	491	101	458	6984
101	458	103	434	7017
103	434	103	418	7050
103	418	102	415	7084
102	415	102	409	7117
102	409	103	406	7151
103	406	103	406	7184
103	406	103	403	7217
103	403	103	401	7250
103	401	102	399	7283
102	399	102	398	7317
102	398	102	398	7351
102	398	101	398	7383
101	398	101	400	7416
101	400	100	413	7450
100	413	103	438	7483
103	438	112	476	7516
112	476	123	516	7550
123	516	133	552	7584
133	552	142	573	7617
142	573	146	576	7650
146	576	152	573	7683
152	573	170	562	7717
170	562	197	543	7750
197	543	226	520	7783
226	520	251	496	7816
251	496	281	455	7850
281	455	298	437	7883
298	437	301	434	7917
301	434	301	434	7950
301	434	302	432	7983
302	432	303	430	8016
303	430	303	429	8050
303	429	303	429	8083
303	429	303	431	8116
303	431	302	448	8150
302	448	300	500	8184
300	500	292	566	8217
292	566	288	650	8250
288	650	278	722	8283
278	722	269	775	8317
269	775	262	807	8350
262	807	254	830	8383
254	830	251	844	8416
251	844	249	850	8450
249	850	250	850	8483
393	728	384	721	9150
384	721	369	717	9183
369	717	349	716	9217
349	716	310	724	9250
310	724	287	747	9284
287	747	276	777	9317
276	777	272	812	9350
272	812	276	853	9384
276	853	286	889	9417
286	889	315	920	9450
315	920	351	930	9483
351	930	387	923	9517
387	923	414	902	9550
414	902	427	862	9583
427	862	428	812	9617
428	812	424	765	9650
424	765	421	744	9684
421	744	419	738	9717
419	738	418	733	9750
418	733	417	730	9783
417	730	416	725	9817
416	725	413	720	9850
413	720	413	721	9883
413	721	415	731	9917
415	731	420	748	9950
420	748	431	776	9984
431	776	440	813	10017
440	813	451	865	10050
451	865	459	893	10084
459	893	463	904	10117
463	904	465	910	10150
465	910	466	911	10184
466	911	466	911	10217
466	911	464	908	10250
648	453	644	458	11117
644	458	639	465	11150
639	465	633	479	11183
633	479	623	507	11217
623	507	606	601	11250
606	601	601	708	11284
601	708	599	810	11317
599	810	599	881	11350
599	881	599	921	11384
599	921	601	956	11417
601	956	599	973	11451
599	973	600	973	11483
600	973	600	965	11517
515	664	511	659	11950
511	659	510	657	11983
510	657	510	657	12017
510	657	512	657	12050
512	657	525	659	12084
525	659	581	666	12117
581	666	651	672	12150
651	672	710	672	12184
710	672	776	666	12217
776	666	831	655	12250
831	655	845	649	12284
845	649	850	648	12317
850	648	851	648	12350
851	648	851	648	12383
753	751	753	751	13184
753	751	754	755	13217
754	755	759	759	13250
759	759	772	764	13284
772	764	795	770	13317
795	770	825	770	13351
825	770	849	764	13384
849	764	875	746	13417
875	746	879	729	13450
879	729	872	711	13483
872	711	865	702	13517
865	702	856	698	13550
856	698	848	698	13583
848	698	839	702	13617
839	702	824	707	13650
824	707	811	714	13684
811	714	798	722	13717
798	722	787	729	13751
787	729	780	737	13784
780	737	774	746	13817
774	746	767	761	13851
767	761	762	772	13883
762	772	760	787	13917
760	787	760	802	13950
760	802	762	813	13984
762	813	768	822	14017
768	822	777	836	14051
777	836	790	846	14083
790	846	799	852	14117
799	852	810	856	14150
810	856	821	860	14183
821	860	830	862	14217
830	862	850	865	14250
850	865	869	867	14284
869	867	883	869	14317
883	869	885	869	14350
885	869	883	867	14383
949	723	945	735	14883
945	735	940	748	14917
940	748	935	763	14950
935	763	930	793	14984
930	793	926	812	15017
926	812	926	820	15050
926	820	925	824	15083
925	824	925	824	15117
925	824	925	824	15150
925	824	926	820	15184
926	820	931	799	15217
931	799	942	751	15251
942	751	950	721	15283
950	721	956	704	15317
956	704	961	697	15350
961	697	967	691	15383
967	691	971	689	15417
971	689	974	695	15450
974	695	982	714	15484
982	714	989	740	15517
989	740	992	754	15551
992	754	992	771	15584
992	771	991	780	15616
991	780	991	781	15650
991	781	991	780	15683
991	780	991	771	15717
991	771	992	755	15750
992	755	994	734	15784
994	734	1003	718	15817
1003	718	1010	712	15851
1010	712	1017	711	15883
1017	711	1028	711	15917
1028	711	1037	713	15950
1037	713	1042	717	15984
1042	717	1048	728	16017
1048	728	1053	751	16050
1053	751	1059	786	16083
1059	786	1061	816	16117
1061	816	1058	848	16150
1058	848	1054	879	16184
1054	879	1053	915	16217
1053	915	1054	929	16250
1054	929	1055	929	16283
1055	929	1056	923	16317
1158	755	1149	748	17383
1149	748	1138	746	17417
1138	746	1121	746	17450
1121	746	1108	753	17484
1108	753	1093	771	17517
1093	771	1089	786	17550
1089	786	1092	802	17583
1092	802	1101	817	17617
1101	817	1120	837	17650
1120	837	1151	849	17684
1151	849	1186	847	17717
1186	847	1217	830	17751
1217	830	1232	802	17783
1232	802	1232	760	17817
1232	760	1226	707	17850
1226	707	1225	686	17884
1225	686	1224	683	17917
1224	683	1224	684	17950
1224	684	1222	693	17983
1222	693	1219	709	18017
1219	709	1217	734	18050
1217	734	1216	760	18084
1216	760	1216	785	18117
1216	785	1220	801	18151
1220	801	1223	809	18184
1223	809	1227	817	18217
1227	817	1232	830	18251
1232	830	1235	837	18283
1235	837	1235	837	18317
1235	837	1235	837	18350
1235	837	1236	840	18383
1236	840	1238	843	18417
1238	843	1240	849	18450
1240	849	1242	860	18484
1242	860	1243	868	18516
1243	868	1243	871	18550
1243	871	1245	874	18584
1245	874	1246	875	18617
1246	875	1246	875	18651
1246	875	1246	875	18684
1246	875	1246	876	18717
1246	876	1245	875	18750
1149	754	1149	754	20317
1149	754	1149	754	20351
1149	754	1149	754	20384
1149	754	1160	755	20417
1160	755	1179	757	20450
1179	757	1188	757	20484
1188	757	1189	757	20517
1189	757	1190	757	20550
1190	757	1191	757	20584
1191	757	1194	757	20617
1194	757	1204	757	20650
1204	757	1212	756	20684
1212	756	1213	755	20717
1213	755	1216	755	20750
1216	755	1223	756	20784
1223	756	1228	756	20817
1228	756	1231	757	20850
1231	757	1234	757	20883
1234	757	1234	757	20917
1234	757	1234	757	20950
1350	538	1350	538	22850
1350	538	1350	538	22884
1350	538	1351	552	22917
1351	552	1351	589	22950
1351	589	1346	653	22984
1346	653	1338	720	23017
1338	720	1329	781	23050
1329	781	1316	840	23084
1316	840	1308	867	23117
1308	867	1303	890	23150
1303	890	1301	899	23183
1301	899	1300	904	23217
1300	904	1300	916	23250
1300	916	1300	919	23284
1267	666	1267	666	23684
1267	666	1277	671	23717
1277	671	1301	679	23750
1301	679	1349	690	23784
1349	690	1385	696	23817
1385	696	1401	696	23850
1401	696	1401	696	23884
1401	696	1402	696	23917
1402	696	1402	697	23950
1402	697	1402	697	23984
1402	697	1402	697	24017
1420	744	1420	744	24483
1420	744	1420	744	24517
1420	744	1417	760	24551
1417	760	1416	778	24584
1416	778	1415	801	24617
1415	801	1418	821	24650
1418	821	1420	835	24684
1420	835	1421	845	24717
1421	845	1421	846	24751
1421	846	1421	847	24783
1421	847	1421	848	24817
1421	848	1421	849	24851
1421	849	1421	849	24884
1421	849	1423	856	24917
1423	856	1426	867	24951
1426	867	1427	872	24983
1427	872	1428	875	25017
1428	875	1428	882	25050
1428	882	1428	888	25084
1428	888	1428	892	25117
1428	892	1428	896	25151
1428	896	1428	896	25183
1428	896	1426	896	25217
1436	669	1436	669	25784
1436	669	1436	669	25817
1436	669	1436	669	25850
1436	669	1436	669	25884
1484	563	1484	563	27584
1484	563	1485	571	27617
1485	571	1488	592	27651
1488	592	1488	624	27684
1488	624	1482	676	27717
1482	676	1476	733	27751
1476	733	1472	779	27784
1472	779	1468	822	27818
1468	822	1469	851	27850
1469	851	1471	879	27884
1471	879	1473	895	27917
1473	895	1474	909	27951
1474	909	1475	915	27984
1475	915	1475	913	28017
1556	772	1556	772	28483
1556	772	1547	781	28517
1547	781	1533	791	28550
1533	791	1517	802	28584
1517	802	1492	820	28617
1492	820	1486	824	28650
1486	824	1485	824	28684
1485	824	1485	824	28717
1485	824	1485	824	28751
1485	824	1485	824	28783
1485	824	1485	824	28817
1485	824	1485	828	28851
1485	828	1492	839	28884
1492	839	1514	861	28918
1514	861	1546	882	28950
1546	882	1576	901	28984
1576	901	1596	916	29017
1596	916	1608	923	29050
1608	923	1610	924	29084
1610	924	1610	924	29117
1610	924	1610	924	29151
1610	924	1609	925	29183
1609	925	1608	925	29217
1716	801	1712	793	29884
1712	793	1702	785	29917
1702	785	1691	778	29950
1691	778	1679	776	29984
1679	776	1662	781	30017
1662	781	1644	796	30050
1644	796	1626	820	30084
1626	820	1621	839	30118
1621	839	1616	855	30150
1616	855	1613	867	30184
1613	867	1622	882	30217
1622	882	1636	896	30251
1636	896	1659	913	30284
1659	913	1673	918	30317
1673	918	1686	919	30351
1686	919	1698	919	30383
